subject_id,session_id,run_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qc_type,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm,wm2max
sub-01,0,0,0.516109526157,1.16755223274,0.570091356306,272.359893799,4.73203,4.47111,4.89432,4.84211,0.234108068774,0.409698686321,0.356193244904,1.1737613678,0.402524971962,anat,0.0010568587947,0.00056965957911,60687.2890625,116814.1875,45624.9882812,160,192,192,3.11395931333,7.36019147947,8.49644313188,15.0151786028,1.0,1.33333337307,1.33333337307,232.984848022,87.8809432983,142.032989502,270.169555664,98.0,39.0,32.5275154114,87.8400726318,368.0,139.0,252.0,384.0,85.7982559204,41.6343994141,69.8457870483,98.3800582886,0.536466774716
sub-02,0,0,0.513819873333,1.09725522995,0.591590792648,194.38420105,4.57206,4.20014,4.76476,4.77564,0.180207577581,0.456786539187,0.363005883232,1.19951546192,0.483424443007,anat,0.00079344846735,0.00174373655002,62877.625,106874.75,46956.1484375,160,192,192,2.38420039432,7.67732849032,7.88259722441,13.5862627886,1.0,1.33333337307,1.33333337307,249.456756592,91.7844772339,153.366821289,279.040496826,113.0,34.2700080872,31.7199993134,82.0800628662,391.0,146.159912109,264.0,407.0,90.3981781006,67.6659393311,72.8839874268,108.873878479,0.495035460993
sub-03,0,0,0.49887907505,1.27744340897,0.566203287686,309.48916626,4.49758,4.12864,4.69673,4.69173,0.195246353694,0.409483785603,0.395269860703,1.09678602219,0.347834992409,anat,0.00480367769213,0.000676043441738,45873.0664062,94593.1875,34477.078125,160,192,192,2.00076987717,6.03239128272,8.30389852968,16.8785344292,1.0,1.33333337307,1.33333337307,214.690093994,73.8878097534,124.097648621,251.084960938,87.0,32.4300079346,27.1999988556,85.5000686646,334.0,118.0,220.0,346.0,81.5428161621,49.9563102722,61.4893875122,85.5071334839,0.546931407942
sub-04,0,0,0.573095440865,1.21351659298,0.519629050825,153.990737915,4.80766,4.3788,4.96139,5.11495,0.210859193309,0.413582917334,0.375557889357,1.30896162987,0.461814105511,anat,0.0112451926921,0.00156269057068,51601.3203125,92353.578125,44894.953125,160,192,192,2.57548227772,6.76752289059,6.77958828342,10.995759682,1.0,1.33333337307,1.33333337307,243.103637695,87.0093536377,144.404602051,278.883544922,99.0,35.0,31.5100593567,82.4000549316,397.0,140.0,253.0,411.0,95.0551528931,45.3366088867,69.6877670288,111.913551331,0.485915492958
sub-05,0,0,0.53885024786,1.28246104717,0.548357159502,221.911712646,4.71328,4.41239,4.91005,4.83294,0.17245831261,0.469534704526,0.358006982864,1.18167674541,0.493574565649,anat,0.0127919894223,0.00291559951387,55477.9765625,79778.015625,46571.0078125,160,192,192,1.53635537688,7.0195349038,6.84997046718,11.9940211209,1.0,1.33333337307,1.33333337307,228.450012207,88.5537643433,139.617034912,257.876525879,95.0,26.8799987793,30.4199981689,72.3200759888,377.0,169.0,237.0,388.0,90.8455200195,81.7125473022,64.6165924072,107.407089233,0.540630182421
sub-06,0,0,0.509268164635,1.42313110828,0.538892872213,305.782531738,4.9294,4.61954,5.21047,4.9763,0.241260955439,0.395228076536,0.363510968025,1.05912649632,0.360415458679,anat,0.00153188002648,0.00226200385809,57579.734375,118642.59375,41219.75,160,192,192,2.70619809682,6.32467408589,8.44120536784,16.2927439208,1.0,1.33333337307,1.33333337307,231.830322266,84.397026062,136.183395386,277.624786377,91.0,37.4000053406,31.1999969482,94.950050354,374.0,132.0,247.0,388.0,91.0472869873,42.0692253113,69.1729888916,97.5044937134,0.605357142857
sub-07,0,0,0.532314538956,1.18870842457,0.533385621846,249.134307861,4.51632,4.32573,4.5829,4.64681,0.241838842445,0.387239092963,0.370922064591,1.12158966064,0.32213498652,anat,0.0106358622125,0.00281635733335,53549.4257812,89639.9453125,38876.4492188,160,192,192,2.53611375498,7.3279140861,8.20160553542,14.7407887652,1.0,1.33333337307,1.33333337307,249.929977417,97.1529998779,149.191314697,290.84576416,104.0,41.0400085449,32.7999992371,96.1400756836,388.0,154.0,264.0,400.0,92.8350143433,55.7217445374,74.2803955078,102.349388123,0.579638752053
sub-08,0,0,0.517533421516,1.35494339466,0.549105184432,257.389953613,4.51143,4.29119,4.59243,4.6593,0.229342959968,0.417358669126,0.353298370906,1.12573361397,0.436143422127,anat,0.00182809764048,0.00241798853642,55433.5117188,98655.15625,41279.3789062,160,192,192,2.51861663578,7.0496315565,7.7590450111,13.708886841,1.0,1.33333337307,1.33333337307,240.46194458,90.070854187,144.960372925,280.39666748,99.0,37.3800048828,31.6800556183,87.1100997925,388.0,144.0,258.0,405.0,93.0074539185,54.0198745728,71.6082458496,106.09072876,0.574750830565
sub-09,0,0,0.516955792904,1.23587453365,0.561195012917,253.36000061,4.669,4.28636,4.85324,4.89271,0.223536678516,0.427118952285,0.3493443692,1.10311996937,0.467658513784,anat,0.00232891558104,0.00230925975366,59847.7304688,103602.289062,41618.46875,160,192,192,2.83938256269,7.6653447777,8.28523855698,14.3509883305,1.0,1.33333337307,1.33333337307,243.653549194,92.3162307739,147.909133911,280.403961182,106.0,35.8200035095,31.8000392914,86.510055542,392.0,148.0,263.0,406.0,91.2280426025,53.2934570312,72.6861190796,107.664733887,0.577114427861
sub-10,0,0,0.567556321621,1.11076104641,0.577682563583,147.097930908,4.6179,4.30389,4.80324,4.76363,0.192701834401,0.433338956415,0.373959209184,1.2939426899,0.50071015358,anat,0.0143813268817,0.00125061101471,50145.8398438,83463.9140625,48071.5703125,160,192,192,2.36915278683,7.99165838583,7.19253108555,11.216782084,1.0,1.33333337307,1.33333337307,245.611907959,89.5311050415,150.378799438,271.000335693,103.0,34.5800018311,33.0200500488,76.2300796509,390.0,148.0,255.0,407.0,91.1410598755,56.5270042419,69.8669128418,111.936958313,0.560855263158
sub-11,0,0,0.507282495499,1.21055483818,0.539418052671,329.624694824,4.60905,4.31369,4.78871,4.73987,0.24134782409,0.404358365709,0.354293810201,1.17962300777,0.363187086582,anat,0.00305585154712,0.000766043839418,58291.625,105602.625,39510.4023438,160,192,192,2.84392915893,6.88880256095,8.57487681797,15.991898734,1.0,1.33333337307,1.33333337307,233.536117554,89.8844833374,138.805450439,272.846954346,101.0,40.3200073242,29.4800605774,92.0400695801,368.0,139.0,250.0,384.0,86.1003875732,45.877872467,70.5826339722,96.8347091675,0.562711864407
sub-12,0,0,0.546748757362,1.57986664772,0.531477258127,267.518280029,5.07101,4.56564,5.39655,5.29256,0.18954754861,0.449582538117,0.360869913272,0.970939874649,0.481734502316,anat,0.00286381280708,0.00208452193388,65809.3046875,107020.609375,51683.3164062,160,192,192,1.78067045345,6.72833274674,7.12038976283,12.8521660883,1.0,1.33333337307,1.33333337307,252.821472168,90.5381317139,152.782989502,291.923309326,99.0,31.6399993896,33.9900360107,87.3600921631,424.0,152.0,271.0,438.0,104.111251831,74.3593521118,74.2663040161,118.929023743,0.629502572899
sub-13,0,0,0.496799349785,1.39010739326,0.484951974831,403.374176025,4.38446,4.08491,4.48343,4.60208,0.211594399389,0.420208376575,0.368197224036,0.968794584274,0.257429927588,anat,0.00234880581033,0.00258297684893,47539.3554688,86326.8984375,31651.15625,160,192,192,2.57873066994,7.04998882978,9.20650786974,17.9908041095,1.0,1.33333337307,1.33333337307,267.286499023,102.532424927,159.8722229,305.582244873,124.0,44.3900108337,35.0400619507,105.120094299,404.0,160.0,279.0,417.0,91.6746063232,59.6093597412,78.6919631958,104.250709534,0.595505617978
